Year,Month,Production_Tonnes,AvgPrice_INR_per_ton,Rainfall_mm,Avg_Temperature_C,Fertilizer_kg_per_ha,CPI_Index
2021,1,586093.58,18012.7,25.67,14.8,25.07,
2021,2,729567.11,17543.5,18.85,,,
2021,3,1385163.86,18238.2,26.55,,,
2021,4,10313992.82,19581.9,36.95,,,
2021,5,2715746.04,19569.5,78.88,,,
2021,6,1264939.32,19019.4,182.9,,,
2021,7,704229.09,18110.4,266.1,,,
2021,8,665683.42,18227.3,195.9,,,
2021,9,708253.86,19260.4,229.7,,,
2021,10,659559.42,19736.4,129.3,,,
2021,11,627844.57,20007.6,39.2,,,
2021,12,675532.83,19903.8,9.2,,,
2022,1,636171.93,19937.5,45.9,25.18,,
2022,2,596720.82,20203.7,12.6,,,
2022,3,2107822.28,21602.3,8.9,,,
2022,4,10859530.58,20665.5,39.4,,,
2022,5,4100775.1,21062.1,81.9,,,
2022,6,2116437.26,20521,152.3,,,
2022,7,1433499.17,21175.9,327.7,,,
2022,8,1110012.21,22766.2,241.6,,,
2022,9,1137021.11,22903.5,203.1,,,
2022,10,861955.61,23523.7,110.8,,,
2022,11,959187.8,24863.3,18.7,,,
2022,12,893960.28,25816.7,14.6,,,
2023,1,704122.36,26961.9,14.8,25.03,,
2023,2,781557.83,25085.8,17,,,
2023,3,2013947.02,22144.7,47.3,,,
2023,4,10938685.9,21475.8,38.3,,,
2023,5,4199073.69,21956,50.6,,,
2023,6,1873159.44,22923.4,148.6,,,
2023,7,1263785.02,22981.1,315.9,,,
2023,8,1121902.8,23890.7,162.7,,,
2023,9,926039.68,24022.1,192.8,,,
2023,10,1110505.01,24702.1,50.8,,,
2023,11,801826.83,25580.8,34.2,,,
2023,12,668124.35,25241.6,25.4,,,
2024,11,540821.83,25305.1,16.3,25.43,,
2024,2,811594.46,24567.8,29.9,,,
2024,3,1861830.76,24084.7,29.9,,,
2024,4,10544683.28,23093.1,31.3,,,
2024,5,5265609.76,23582.5,56.1,,,
2024,6,1791330.33,24382.8,147.2,,,
2024,7,1166444.57,24797.7,305.8,,,
2024,8,1114872.6,26458.6,293.9,,,
2024,9,1057270.67,26160.1,187.3,,,
2024,10,1004985.9,27311.8,96.97,,,
2024,11,852793.21,28240.7,13.5,,,
2024,12,787683.76,28442.9,27.6,,,
2025,1,817162.12,29396.9,25.67,,,
2025,2,850865.45,28790,15.9,,,
2025,3,2845796.26,25740.3,20.1,,,
2025,4,14337912.96,24492.9,38.8,,,
2025,5,5030431.66,24935.7,126.9,,,
2025,6,1953650.69,25145.1,134.7,,,
2025,7,1424955.24,25225.4,313.3,,,
2025,8,182477.67,25985.3,223.53,,,
