Year-Month,Production_Tonnes,AvgPrice_INR/ton,Rainfall_mm,Avg_Temperature_C,Fertilizer_kg_per_ha,CPI_Index
2021-01,586093.58,18012.7,25.67,14.8,25.07,261.582
2021-02,729567.11,17543.5,18.85,,,263.014
2021-03,1385163.86,18238.2,26.55,,,264.877
2021-04,10313992.82,19581.9,36.95,,,267.054
2021-05,2715746.04,19569.5,78.88,,,269.195
2021-06,1264939.32,19019.4,182.9,,,271.696
2021-07,704229.09,18110.4,266.1,,,273.003
2021-08,665683.42,18227.3,195.9,,,273.567
2021-09,708253.86,19260.4,229.7,,,274.31
2021-10,659559.42,19736.4,129.3,,,276.589
2021-11,627844.57,20007.6,39.2,,,277.948
2021-12,675532.83,19903.8,9.2,,,278.802
2022-01,636171.93,19937.5,45.9,25.18,,281.148
2022-02,596720.82,20203.7,12.6,,,283.716
2022-03,2107822.28,21602.3,8.9,,,287.504
2022-04,10859530.58,20665.5,39.4,,,289.109
2022-05,4100775.1,21062.1,81.9,,,292.296
2022-06,2116437.26,20521,152.3,,,296.311
2022-07,1433499.17,21175.9,327.7,,,296.276
2022-08,1110012.21,22766.2,241.6,,,296.171
2022-09,1137021.11,22903.5,203.1,,,296.808
2022-10,861955.61,23523.7,110.8,,,298.012
2022-11,959187.8,24863.3,18.7,,,297.711
2022-12,893960.28,25816.7,14.6,,,296.797
2023-01,704122.36,26961.9,14.8,25.03,,299.17
2023-02,781557.83,25085.8,17,,,300.84
2023-03,2013947.02,22144.7,47.3,,,301.836
2023-04,10938685.9,21475.8,38.3,,,303.363
2023-05,4199073.69,21956,50.6,,,304.127
2023-06,1873159.44,22923.4,148.6,,,305.109
2023-07,1263785.02,22981.1,315.9,,,305.691
2023-08,1121902.8,23890.7,162.7,,,307.026
2023-09,926039.68,24022.1,192.8,,,307.789
2023-10,1110505.01,24702.1,50.8,,,307.671
2023-11,801826.83,25580.8,34.2,,,307.051
2023-12,668124.35,25241.6,25.4,,,306.746
2024-01,540821.83,25305.1,16.3,25.43,,308.417
2024-02,811594.46,24567.8,29.9,,,310.326
2024-03,1861830.76,24084.7,29.9,,,312.332
2024-04,10544683.28,23093.1,31.3,,,313.548
2024-05,5265609.76,23582.5,56.1,,,314.069
2024-06,1791330.33,24382.8,147.2,,,314.175
2024-07,1166444.57,24797.7,305.8,,,314.54
2024-08,1114872.6,26458.6,293.9,,,314.796
2024-09,1057270.67,26160.1,187.3,,,315.301
2024-10,1004985.9,27311.8,96.97,,,315.664
2024-11,852793.21,28240.7,13.5,,,315.493
2024-12,787683.76,28442.9,27.6,,,315.605
2025-01,817162.12,29396.9,25.67,,,317.671
2025-02,850865.45,28790,15.9,,,319.082
2025-03,2845796.26,25740.3,20.1,,,319.799
2025-04,14337912.96,24492.9,38.8,,,320.795
2025-05,5030431.66,24935.7,126.9,,,321.465
2025-06,1953650.69,25145.1,134.7,,,322.561
2025-07,1424955.24,25225.4,313.3,,,
2025-08,182477.67,25985.3,223.53,,,
